name,time,mean_value
ping4,1505501700000000000,0.031476
ping4,1505502000000000000,0.031449
ping4,1505502300000000000,0.031404
ping4,1505502600000000000,0.031403
ping4,1505502900000000000,0.031374
ping4,1505503200000000000,0.031497
ping4,1505503500000000000,0.03246
ping4,1505503800000000000,0.031888
ping4,1505504100000000000,0.033058
ping4,1505504400000000000,0.031881
ping4,1505504700000000000,0.032327
ping4,1505505000000000000,0.031907
ping4,1505505300000000000,0.031999
ping4,1505505600000000000,0.031443
ping4,1505505900000000000,0.03258
ping4,1505506200000000000,0.031549
ping4,1505506500000000000,0.03227
ping4,1505506800000000000,0.031604
ping4,1505507100000000000,0.032835
ping4,1505507400000000000,0.031599
ping4,1505507700000000000,0.032245
ping4,1505508000000000000,0.03161
ping4,1505508300000000000,0.03234
ping4,1505508600000000000,0.031614
ping4,1505508900000000000,0.03219
ping4,1505509200000000000,0.031491
ping4,1505509500000000000,0.032398
ping4,1505509800000000000,0.031477
ping4,1505510100000000000,0.031776
ping4,1505510400000000000,0.031464
ping4,1505510700000000000,0.032367
ping4,1505511000000000000,0.031444
ping4,1505511300000000000,0.031703
ping4,1505511600000000000,0.031403
ping4,1505511900000000000,0.032431
ping4,1505512200000000000,0.03158
ping4,1505512500000000000,0.033084
ping4,1505512800000000000,0.031414
ping4,1505513100000000000,0.032147
ping4,1505513400000000000,0.031635
ping4,1505513700000000000,0.031635
ping4,1505514000000000000,0.031481
ping4,1505514300000000000,0.033212
ping4,1505514600000000000,0.03146
ping4,1505514900000000000,0.032255
ping4,1505515200000000000,0.032215
ping4,1505515500000000000,0.032836
ping4,1505515800000000000,0.03235
ping4,1505516100000000000,0.032401
ping4,1505516400000000000,0.03219
ping4,1505516700000000000,0.032177
ping4,1505517000000000000,0.032109
ping4,1505517300000000000,0.032124
ping4,1505517600000000000,0.031603
ping4,1505517900000000000,0.031457
ping4,1505518200000000000,0.03189
ping4,1505518500000000000,0.031484
ping4,1505518800000000000,0.031547
ping4,1505519100000000000,0.031431
ping4,1505519400000000000,0.031961
ping4,1505519700000000000,0.031593
ping4,1505520000000000000,0.03199
ping4,1505520300000000000,0.032227
ping4,1505520600000000000,0.031938
ping4,1505520900000000000,0.031996
ping4,1505521200000000000,0.031555
ping4,1505521500000000000,0.0314
ping4,1505521800000000000,0.031986
ping4,1505522100000000000,0.031906
ping4,1505522400000000000,0.032003
ping4,1505522700000000000,0.031546
ping4,1505523000000000000,0.031473
ping4,1505523300000000000,0.031486
ping4,1505523600000000000,0.031441
ping4,1505523900000000000,0.031519
ping4,1505524200000000000,0.031544
ping4,1505524500000000000,0.031884
ping4,1505524800000000000,0.031488
ping4,1505525100000000000,0.031695
ping4,1505525400000000000,0.031621
ping4,1505525700000000000,0.031882
ping4,1505526000000000000,0.03201
